player;session;level;action;time;state;timestamp
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;246;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 3.0; Rotación Total Negativa: -0.5; Player 0";2020-12-03 02:02:23.080211
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;247;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 1.5; Rotación Total Negativa: -2.5; Player 0";2020-12-03 02:02:24.516952
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;260;"Palanca_Lever1; Mirror; Rotación Total Positiva: 5.5; Rotación Total Negativa: -56.5; Player 0";2020-12-03 02:02:38.094796
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;279;"Palanca_Lever3; Mirror5; Rotación Total Positiva: 31.5; Rotación Total Negativa: -51.5; Player 0";2020-12-03 02:02:56.724750
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;279;"Palanca_Lever3; Mirror5; Rotación Total Positiva: 4.0; Rotación Total Negativa: 0.0; Player 0";2020-12-03 02:02:57.143621
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;297;"Palanca_Lever3; Mirror5; Rotación Total Positiva: 15.5; Rotación Total Negativa: -143.0; Player 0";2020-12-03 02:03:15.472063
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;308;"Palanca_Lever6; Mirror3_0; Rotación Total Positiva: 9.5; Rotación Total Negativa: -11.5; Player 0";2020-12-03 02:03:26.123119
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;333;"Palanca_Lever4; Light_source_2; Rotación Total Positiva: 9.5; Rotación Total Negativa: -9.5; Player 0";2020-12-03 02:03:50.949259
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;401;"Palanca_Lever3; Mirror5; Rotación Total Positiva: 52.5; Rotación Total Negativa: -15.5; Player 0";2020-12-03 02:04:59.143698
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;418;"Palanca_Lever3; Mirror5; Rotación Total Positiva: 7.5; Rotación Total Negativa: -43.5; Player 0";2020-12-03 02:05:15.276609
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;421;"Palanca_Lever7; Mirror4_3; Rotación Total Positiva: 0.0; Rotación Total Negativa: 0.0; Player 1";2020-12-03 02:05:17.943462
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;433;"Palanca_Lever7; Mirror4_3; Rotación Total Positiva: 25.5; Rotación Total Negativa: -21.5; Player 1";2020-12-03 02:05:30.847376
